,karta,country,mcc,Typ_karty,te_pos_entry_mode,czy_moto,czy_niskokwotowa_zblizeniowa,czy_SCA,ilosc,wartosc_transakcji,te_tran_type,Wartość wypłat Cash Back,category,tr_rsp_code,tr_app_id
160,VISA,PL ,7999,Credit,CTLS,inne,1,0,67,1950.8300,00,0.0000,BUSINESS,00,07
161,VISA,FR ,4121,Credit,CHIP,inne,0,1,1,53.0000,00,0.0000,BUSINESS,00,07
162,VISA,DK ,7299,Credit,CTLS,inne,0,0,2,1014.0000,00,0.0000,Individual,00,07
163,VISA,UA ,4121,Credit,CTLS,inne,1,0,187,5044.0000,00,0.0000,Individual,00,07
164,VISA,CZ ,7299,Debit,CTLS,inne,1,0,41,1636.9000,00,0.0000,Individual,00,07
165,VISA,CZ ,5051,Debit,CTLS,inne,0,0,4,2311.3000,00,0.0000,Individual,00,07
166,VISA,PL ,7832,Debit,CTLS,inne,0,0,129,30674.2000,00,0.0000,Individual,00,07
167,VISA,RW ,5812,Debit,CTLS,inne,1,0,14,399.2900,00,0.0000,Individual,00,07
168,VISA,FR ,5065,Debit,CHIP,inne,0,0,1,3828.7200,00,0.0000,BUSINESS,00,07
169,VISA,DE ,4225,Debit,CHIP,inne,0,0,3,166.6200,00,0.0000,Individual,00,07
170,VISA,GB ,8099,Credit,CTLS,inne,1,0,19,1337.0000,00,0.0000,Individual,00,07
171,VISA,RO ,5462,Debit,CTLS,inne,1,1,1,27.0000,00,0.0000,Individual,00,07
172,VISA,SI ,5422,Debit,CTLS,inne,1,0,3,66.2800,00,0.0000,Individual,00,07
173,VISA,GB ,5931,Debit,CTLS,inne,0,0,139,33899.8200,00,0.0000,Individual,00,07
174,VISA,US ,5813,Debit,CTLS,inne,0,0,4,997.0000,00,0.0000,BUSINESS,00,07
175,VISA,DE ,5192,Credit,CHIP,inne,0,0,8,7044.9100,00,0.0000,Individual,00,07
176,VISA,AT ,5122,Credit,CTLS,inne,0,0,2,628.8000,00,0.0000,Individual,00,07
177,VISA,IE ,7623,Debit,CTLS,inne,0,0,1,114.6100,00,0.0000,Individual,00,07
178,VISA,IE ,7299,Credit,CTLS,inne,1,0,1,12.0000,00,0.0000,Individual,00,07
179,VISA,SE ,5921,Credit,CHIP,inne,0,1,1,18.0000,00,0.0000,Individual,00,07
180,VISA,IE ,7531,Debit,CTLS,inne,1,0,1,62.2000,00,0.0000,Individual,00,07
181,VISA,CZ ,8042,Debit,CTLS,inne,0,0,171,131525.0000,00,0.0000,Individual,00,07
182,VISA,DE ,5462,Debit,CHIP,inne,0,0,120,5180.4400,00,0.0000,Individual,00,07
183,VISA,ES ,7996,Debit,CHIP,inne,0,1,1,32.0000,00,0.0000,Individual,00,07
